ell,Energy_J
-6,4.0676115703485935e-23
-5,2.833657894215328e-23
-4,1.822128163827138e-23
-3,1.0330232228692682e-23
-2,4.663421345882739e-24
-1,1.220855676106076e-24
0,2.535408549196851e-27
1,1.0084568405488084e-24
2,4.238624356534694e-24
3,9.693032245810831e-24
4,1.7371684785468158e-23
5,2.727457988959213e-23
6,3.940172081706821e-23
