T,T2,delta_y
0.0,0.0,-0.000557754262964614
0.02040816326530612,0.00041649312786339016,0.027754231498970744
0.04081632653061224,0.0016659725114535606,-0.03972337457308834
0.061224489795918366,0.003748438150770512,0.010608932088464652
0.08163265306122448,0.006663890045814243,0.020438925423000555
0.1020408163265306,0.010412328196584754,-0.01485265445475739
0.12244897959183673,0.014993752603082049,0.05500120438167608
0.14285714285714285,0.02040816326530612,0.01332112623986987
0.16326530612244897,0.02665556018325697,0.018101162551284272
0.18367346938775508,0.033735943356934604,0.005399905180038092
0.2040816326530612,0.041649312786339016,0.05087877391834916
0.22448979591836732,0.05039566847147021,0.04480588305458755
0.24489795918367346,0.059975010412328195,0.03614813925976518
0.26530612244897955,0.07038733860891293,0.06083512693084357
0.2857142857142857,0.08163265306122448,0.07902977258883494
0.3061224489795918,0.09371095376926278,0.09926885517660257
0.32653061224489793,0.10662224073302788,0.08961898141485247
0.3469387755102041,0.12036651395251978,0.07699674001671253
0.36734693877551017,0.13494377342773842,0.09682286264909877
0.3877551020408163,0.15035401915868388,0.07431546252325744
0.4081632653061224,0.16659725114535606,0.11863615839419586
0.42857142857142855,0.18367346938775508,0.1616681575190867
0.44897959183673464,0.20158267388588083,0.17058047347890076
0.4693877551020408,0.22032486463973341,0.1741023707358362
0.4897959183673469,0.23990004164931278,0.1850913074353355
0.5102040816326531,0.2603082049146189,0.23993723980110276
0.5306122448979591,0.2815493544356517,0.23088430767208276
0.5510204081632653,0.3036234902124114,0.2610897199856463
0.5714285714285714,0.32653061224489793,0.26912592111865097
0.5918367346938775,0.3502707205331112,0.26682904604176827
0.6122448979591836,0.3748438150770511,0.33098243167335745
0.6326530612244897,0.40024989587671794,0.29543713607616817
0.6530612244897959,0.4264889629321115,0.31726770112326325
0.673469387755102,0.453561016243232,0.35426582287787944
0.6938775510204082,0.4814660558100791,0.370579646783197
0.7142857142857142,0.510204081632653,0.3970138873237478
0.7346938775510203,0.5397750937109537,0.41982101368351754
0.7551020408163265,0.5701790920449812,0.47587981772381754
0.7755102040816326,0.6014160766347355,0.4822167548104024
0.7959183673469387,0.6334860474802164,0.5138269868388256
0.8163265306122448,0.6663890045814242,0.5013518134889834
0.836734693877551,0.7001249479383589,0.543160931363429
0.8571428571428571,0.7346938775510203,0.609446507289126
0.8775510204081632,0.7700957934194085,0.5920001018306189
0.8979591836734693,0.8063306955435233,0.66863517431542
0.9183673469387754,0.8433985839233651,0.6541055500589568
0.9387755102040816,0.8812994585589337,0.7110239334072396
0.9591836734693877,0.920033319450229,0.7191018561374636
0.9795918367346939,0.9596001665972511,0.7716125392871886
1.0,1.0,0.782007243505243
