phi_theta,intensity
-9.42477796076938,0.04023557981222314
-9.377535965978556,0.056614487652001784
-9.330293971187732,0.05947601078522533
-9.283051976396907,0.03323279491364258
-9.235809981606083,0.06392730635373489
-9.18856798681526,0.0843085370559566
-9.141325992024436,0.08786958642614329
-9.094083997233612,0.09810709281069982
-9.046842002442787,0.13010729775277016
-8.999600007651964,0.11899067734948303
-8.95235801286114,0.14359612463493174
-8.905116018070316,0.13652341231640075
-8.857874023279493,0.13644331187327935
-8.810632028488667,0.16151279985729738
-8.763390033697844,0.18714057249141539
-8.71614803890702,0.18936091390690127
-8.668906044116197,0.20457234405133357
-8.621664049325371,0.23899357907081065
-8.574422054534548,0.2720792692559532
-8.527180059743724,0.3048976120565364
-8.4799380649529,0.28897882489130466
-8.432696070162077,0.33421359720557825
-8.385454075371252,0.31705382187080583
-8.338212080580428,0.38966833166263815
-8.290970085789604,0.3954599963254546
-8.243728090998781,0.3970884698760126
-8.196486096207956,0.37338946912158916
-8.149244101417132,0.45132253685470103
-8.102002106626308,0.4689388869240309
-8.054760111835485,0.495654848473761
-8.007518117044661,0.5054222784136102
-7.960276122253837,0.4957736727334082
-7.913034127463012,0.5826737441206202
-7.865792132672189,0.49759985682181307
-7.818550137881365,0.5601712310925778
-7.771308143090541,0.6029585926288872
-7.724066148299717,0.6380082771464071
-7.676824153508893,0.6577891135037577
-7.629582158718069,0.6828827743111169
-7.582340163927245,0.6128907221117096
-7.535098169136421,0.6396024383091631
-7.487856174345597,0.7065534911827132
-7.440614179554773,0.7067033542080865
-7.393372184763949,0.7204328925279544
-7.346130189973126,0.8161326311610356
-7.298888195182301,0.814674240890655
-7.251646200391477,0.7767369547992771
-7.204404205600653,0.7499393327477879
-7.15716221080983,0.8066899530443837
-7.109920216019006,0.8013182076687932
-7.062678221228182,0.8005939576376613
-7.015436226437357,0.8772733446263352
-6.9681942316465335,0.8396533062139778
-6.92095223685571,0.8700552577309251
-6.8737102420648855,0.7987372927543465
-6.826468247274062,0.7619175879500586
-6.779226252483237,0.8575702989548946
-6.731984257692414,0.8178967482643755
-6.68474226290159,0.8489227233074692
-6.637500268110766,0.901921606050014
-6.590258273319941,0.9020142538319605
-6.543016278529118,0.999999999999998
-6.495774283738294,0.9321057520914514
-6.4485322889474705,0.8936735712819125
-6.401290294156646,0.967653566720109
-6.354048299365822,0.8782083246286556
-6.306806304574998,0.867424236205233
-6.259564309784174,0.8682948281108007
-6.212322314993351,0.9070519372724672
-6.165080320202526,0.8151004989606834
-6.117838325411702,0.7997009450178088
-6.070596330620878,0.8113703506300946
-6.023354335830055,0.868150274467368
-5.97611234103923,0.7721970564930561
-5.928870346248407,0.7856091231601661
-5.881628351457582,0.8142560044669374
-5.834386356666759,0.8276192781838062
-5.787144361875935,0.7582086333872057
-5.739902367085111,0.7370698250444406
-5.692660372294286,0.703055863623393
-5.6454183775034625,0.794313083854821
-5.598176382712639,0.7804018114655673
-5.550934387921815,0.712424906192438
-5.503692393130991,0.721270049757112
-5.456450398340166,0.6509294703477161
-5.409208403549343,0.674950622502033
-5.361966408758519,0.7025688209508637
-5.314724413967695,0.5611320032105626
-5.267482419176871,0.5495527756506943
-5.220240424386047,0.5826717259698554
-5.172998429595223,0.5154813580931907
-5.1257564348044,0.5251577710427466
-5.078514440013575,0.46493589078954095
-5.0312724452227515,0.44776486814118927
-4.984030450431927,0.4848169936004051
-4.9367884556411035,0.4189079439329383
