ell,Energy_J
-6,2.627387556910235e-29
-5,1.8594939902647644e-29
-4,1.2239958661443749e-29
-3,7.208931845490666e-30
-2,3.501859454788395e-30
-1,1.1187414893369356e-30
0,5.95779491362865e-32
1,3.243688341864487e-31
2,1.913114144487422e-30
3,4.825813880039208e-30
4,9.062468040841803e-30
5,1.462307662689521e-29
6,2.1507639638199428e-29
