N_points,phase_est_rad,phase_true_rad,abs_err_rad
200,2.7018187247855527,2.701769682087222,4.904269833083674e-05
400,2.7017818826493176,2.701769682087222,1.2200562095721068e-05
800,2.701772725841714,2.701769682087222,3.04375449200478e-06
1600,2.7017704433165544,2.701769682087222,7.612293324577024e-07
3200,2.701769873517429,2.701769682087222,1.9143020724143867e-07
6400,2.701769731171517,2.701769682087222,4.908429529493219e-08
