r_m,yukawa,frac_gravity,frac_EM
1e-05,0.9900498337491681,0.009900498337491681,9.900498337491681e-07
1.0233520470972576e-05,0.9898186638382084,0.009898186638382085,9.898186638382084e-07
1.0472494122981476e-05,0.9895821515185164,0.009895821515185164,9.895821515185163e-07
1.0717048298967115e-05,0.9893401746603132,0.009893401746603133,9.893401746603133e-07
1.0967313315588179e-05,0.9890926084049366,0.009890926084049366,9.890926084049367e-07
1.1223422532664174e-05,0.9888393251068605,0.009888393251068604,9.888393251068604e-07
1.1485512424239392e-05,0.9885801942746271,0.009885801942746271,9.88580194274627e-07
1.1753722651306367e-05,0.9883150825106792,0.009883150825106792,9.883150825106791e-07
1.2028196136227775e-05,0.9880438534500776,0.009880438534500777,9.880438534500776e-07
1.2309079138896018e-05,0.9877663676980926,0.009877663676980926,9.877663676980925e-07
1.2596521334671389e-05,0.9874824827666571,0.009874824827666571,9.87482482766657e-07
1.2890675894140271e-05,0.9871920530096684,0.009871920530096685,9.871920530096684e-07
1.3191699564735716e-05,0.9868949295571285,0.009868949295571286,9.868949295571285e-07
1.3499752754264297e-05,0.9865909602481103,0.009865909602481104,9.865909602481104e-07
1.3814999616383238e-05,0.9862799895625389,0.00986279989562539,9.862799895625389e-07
1.4137608138073613e-05,0.9859618585517801,0.009859618585517801,9.8596185855178e-07
1.446775022915648e-05,0.9856364047680223,0.009856364047680224,9.856364047680222e-07
1.48056018138991e-05,0.9853034621924467,0.009853034621924467,9.853034621924467e-07
1.5151342924760514e-05,0.9849628611621748,0.009849628611621749,9.849628611621748e-07
1.5505157798326253e-05,0.9846144282959859,0.00984614428295986,9.846144282959858e-07
1.5867234973483178e-05,0.9842579864187979,0.009842579864187979,9.84257986418798e-07
1.623776739188721e-05,0.9838933544849046,0.009838933544849045,9.838933544849046e-07
1.6616952500776906e-05,0.9835203474999648,0.009835203474999648,9.835203474999648e-07
1.700499235818794e-05,0.9831387764417374,0.009831387764417374,9.831387764417374e-07
1.7402093740624848e-05,0.9827484481795606,0.009827484481795606,9.827484481795605e-07
1.780846825324681e-05,0.9823491653925704,0.009823491653925705,9.823491653925704e-07
1.8224332442626647e-05,0.9819407264866601,0.009819407264866601,9.8194072648666e-07
1.8649907912142982e-05,0.9815229255101775,0.009815229255101775,9.815229255101774e-07
1.908542144006686e-05,0.9810955520683632,0.009810955520683631,9.810955520683632e-07
1.953110510040631e-05,0.9806583912365308,0.009806583912365307,9.806583912365307e-07
1.9987196386572525e-05,0.980211223471994,0.00980211223471994,9.80211223471994e-07
2.0453938337933903e-05,0.9797538245247466,0.009797538245247466,9.797538245247466e-07
2.0931579669325737e-05,0.9792859653468995,0.009792859653468995,9.792859653468995e-07
2.1420374903583833e-05,0.9788074120008875,0.009788074120008875,9.788074120008875e-07
2.1920584507173233e-05,0.978317925566454,0.009783179255664541,9.78317925566454e-07
2.2432475028984204e-05,0.9778172620464266,0.009778172620464267,9.778172620464266e-07
2.2956319242369097e-05,0.9773051722712988,0.009773051722712988,9.773051722712988e-07
